name_fi_FI	name_en_US	name_sv_SE	type	mainLanguage	municipality_fi_FI	municipality_en_US	municipality_sv_SE	latitude	longitude
Pieksämäki	Pieksämäki	Pieksämäki	Kaupunki	ruotsi - suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	62.2949951	27.1330500
Pielavesi	Pielavesi	Pielavesi	Kunta	ruotsi - suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.2324500	26.7556771
Pietarsaari	Pietarsaari	Jakobstad	Kaupunki	suomi	Pohjanmaa	Pohjanmaa	Österbotten	63.6744036	22.6966088
Pedersören kunta	Pedersören kunta	Pedersöre	Kunta	suomi	Pohjanmaa	Pohjanmaa	Österbotten	63.6006927	22.7969093
Pihtipudas	Pihtipudas	Pihtipudas	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	63.3706094	25.5754706
Pirkkala	Pirkkala	Birkala	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.4668752	23.6415371
Polvijärvi	Polvijärvi	Polvijärvi	Kunta	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.8551709	29.3704863
Pomarkku	Pomarkku	Påmark	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.6934738	22.0085150
Pori	Pori	Björneborg	Kaupunki	suomi	Satakunta	Satakunta	Satakunta	61.4851393	21.7974179
Pornainen	Pornainen	Borgnäs	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.4758436	25.3749759
Posio	Posio	Posio	Kunta	suomi	Lappi	Lappi	Lappland	66.1105895	28.1672012
Pudasjärvi	Pudasjärvi	Pudasjärvi	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	65.36185329999999	26.9858549
Pukkila	Pukkila	Pukkila	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.6458731	25.5831031
Punkalaidun	Punkalaidun	Punkalaidun	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.11194	23.1061065
Puolanka	Puolanka	Puolanka	Kunta	suomi - ruotsi	Kainuu	Kainuu	Kajanaland	64.86747439999999	27.675203
Puumala	Puumala	Puumala	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	61.5238519	28.1777513
Pyhtää	Pyhtää	Pyttis	Kunta	suomi	Kymenlaakso	Kymenlaakso	Kymmenedalen	60.492165	26.5430565
Pyhäjoki	Pyhäjoki	Pyhäjoki	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.465053	24.2625148
Pyhäjärvi	Pyhäjärvi	Pyhäjärvi	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	63.6811993	25.9815064
Pyhäntä	Pyhäntä	Pyhäntä	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.09710149999999	26.330507
Pyhäranta	Pyhäranta	Pyhäranta	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.9501559	21.444609
Pälkäne	Pälkäne	Pälkäne	Kunta	suomi - ruotsi	Pirkanmaa	Pirkanmaa	Birkaland	61.337656	24.2690875
Pöytyä	Pöytyä	Pöytyä	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.71983239999999	22.603693
Porvoo	Porvoo	Borgå	Kaupunki	suomi	Uusimaa	Uusimaa	Nyland	60.3931919	25.6652739
Raahe	Raahe	Brahestad	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.68395409999999	24.4883649
Raisio	Raisio	Reso	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.48591219999999	22.1689265
Rantasalmi	Rantasalmi	Rantasalmi	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	62.06399589999999	28.3028084
Ranua	Ranua	Ranua	Kunta	suomi	Lappi	Lappi	Lappland	65.92950909999999	26.5158999
Rauma	Rauma	Raumo	Kaupunki	suomi	Satakunta	Satakunta	Satakunta	61.1308854	21.5059263
Rautalampi	Rautalampi	Rautalampi	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.6243044	26.8277488
Rautavaara	Rautavaara	Rautavaara	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.4941835	28.2984029
Rautjärvi	Rautjärvi	Rautjärvi	Kunta	suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	61.43457100000001	29.371368
Reisjärvi	Reisjärvi	Reisjärvi	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	63.6045211	24.9388982
Riihimäki	Riihimäki	Riihimäki	Kaupunki	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.7373073	24.7548524
Ristijärvi	Ristijärvi	Ristijärvi	Kunta	suomi	Kainuu	Kainuu	Kajanaland	64.50510369999999	28.2071213
Rovaniemi	Rovaniemi	Rovaniemi	Kaupunki	suomi	Lappi	Lappi	Lappland	66.50394779999999	25.7293906
Ruokolahti	Ruokolahti	Ruokolahti	Kunta	suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	61.2862997	28.8275142
Ruovesi	Ruovesi	Ruovesi	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.9852143	24.0718621
Rusko	Rusko	Rusko	Kunta	ruotsi - suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.5421956	22.2221546
Rääkkylä	Rääkkylä	Rääkkylä	Kunta	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.31384149999999	29.6235851
Raasepori	Raasepori	Raseborg	Kaupunki	suomi	Uusimaa	Uusimaa	Nyland	59.97443730000001	23.435507
Saarijärvi	Saarijärvi	Saarijärvi	Kaupunki	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.7066981	25.2553606
Salla	Salla	Salla	Kunta	ruotsi	Lappi	Lappi	Lappland	66.83265249999999	28.670118
Salo	Salo	Salo	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.3900183	23.1171797
Saltvik	Saltvik	Saltvik	Kunta	suomi	Ahvenanmaa	Ahvenanmaa	Åland	60.2755254	20.0619188
